GEOID,NAME,svi_cdc,dom_ses,dom_household,dom_minority,dom_housing,pca_sovi
17031010100,Census Tract 101; Cook County; Illinois,0.4448024718605164,0.6626475759859332,0.26733232856066313,0.23888470233609646,0.6601356443104748,0.3041381783617798
17031010201,Census Tract 102.01; Cook County; Illinois,0.8365702935334361,0.6611404169806582,0.6904672192916352,0.7445365486058779,0.8475885455915599,0.6108764342812114
17031010202,Census Tract 102.02; Cook County; Illinois,0.708607371441183,0.6960562672695303,0.3306330067822155,0.6880180859080633,0.8649208741522231,0.4210112316404727
17031010300,Census Tract 103; Cook County; Illinois,0.5604723019201058,0.35970861592564685,0.3415599095704597,0.672569706103994,0.7842878673700076,0.22845472727533703
17031010400,Census Tract 104; Cook County; Illinois,0.19128227764290445,0.3160010047726702,0.03636021100226074,0.07121326299924642,0.6840617935192163,0.15847530869018955
17031010501,Census Tract 105.01; Cook County; Illinois,0.2651291105716177,0.3682491836222055,0.1103993971363979,0.11341371514694801,0.7256970610399397,0.23326218035337531
17031010502,Census Tract 105.02; Cook County; Illinois,0.34385345398366807,0.45792514443607135,0.22984174830444612,0.1850037678975132,0.6689902034664656,0.3784995705162553
17031010503,Census Tract 105.03; Cook County; Illinois,0.4015669830059589,0.6483295654358202,0.26017332328560666,0.08854559155990957,0.7089299171062546,0.2536254233477984
17031010600,Census Tract 106; Cook County; Illinois,0.2839991171926727,0.34564179854307964,0.20101733232856067,0.1797287113790505,0.6450640542577242,0.2980772028576499
17031010701,Census Tract 107.01; Cook County; Illinois,0.49865371882586623,0.4119567947751821,0.4380180859080633,0.6910324039186134,0.4412207987942728,0.38982851464078905
17031010702,Census Tract 107.02; Cook County; Illinois,0.8458177002869123,0.7626224566691786,0.6262245666917859,0.7660135644310475,0.8151846269781462,0.6485024090300195
17031020100,Census Tract 201; Cook County; Illinois,0.5632972853674685,0.6669178598342125,0.2984174830444612,0.6793519216277317,0.5214770158251696,0.3868756927960059
17031020200,Census Tract 202; Cook County; Illinois,0.4477378062237916,0.45792514443607135,0.7153353428786737,0.48116051243406177,0.18293142426526,0.4795624251140428
17031020301,Census Tract 203.01; Cook County; Illinois,0.45365261531670703,0.4740015071590053,0.7319140919366993,0.053504144687264506,0.5947626224566691,0.3336669898801693
17031020302,Census Tract 203.02; Cook County; Illinois,0.4841756786581329,0.41823662396382816,0.6897136397889978,0.3379804069329314,0.49510173323285606,0.36211280065860235
17031020400,Census Tract 204; Cook County; Illinois,0.6371441182961817,0.57824667169053,0.4787113790504898,0.6605124340617935,0.658816880180859,0.4247496607557931
17031020500,Census Tract 205; Cook County; Illinois,0.8718605164422863,0.7545842753077117,0.6414845516201959,0.7912584777694047,0.8568198944988696,0.5952189638504486
17031020601,Census Tract 206.01; Cook County; Illinois,0.6386228205694106,0.7126350163275559,0.7526375282592314,0.20648078372268275,0.7087415222305953,0.5650071677685671
17031020602,Census Tract 206.02; Cook County; Illinois,0.45967777532553517,0.4348153730218538,0.5776186887716654,0.25470987189148453,0.6041823662396383,0.450906075360408
17031020701,Census Tract 207.01; Cook County; Illinois,0.2435886117854778,0.5126852549610651,0.39355689525244913,0.1439336850037679,0.20629238884702336,0.2153417147318338
17031020702,Census Tract 207.02; Cook County; Illinois,0.6887000662105494,0.7437829691032404,0.8093443858327053,0.23813112283345894,0.73172569706104,0.62554407639892
17031020801,Census Tract 208.01; Cook County; Illinois,0.4786581328625027,0.4277819643305702,0.4120195930670686,0.5071590052750565,0.5783722682743029,0.38498198996457406
17031020802,Census Tract 208.02; Cook County; Illinois,0.7515118075480025,0.7729213765385581,0.6571213262999247,0.7629992464204973,0.5086661642803316,0.6325544970568028
17031020901,Census Tract 209.01; Cook County; Illinois,0.623460604723019,0.5965837729213765,0.622268274302939,0.5926902788244159,0.5258100979653353,0.5335729310473414
17031020902,Census Tract 209.02; Cook County; Illinois,0.6372765393952768,0.5360462195428284,0.475320271288621,0.6710625470987188,0.6942351168048229,0.4035045730555369
17031030101,Census Tract 301.01; Cook County; Illinois,0.5045685279187817,0.6812358703843255,0.37132629992464206,0.2509419743782969,0.6955538809344386,0.324721311645983
17031030102,Census Tract 301.02; Cook County; Illinois,0.4662105495475612,0.7186636523486561,0.26921627731725695,0.2596081386586285,0.6424265259984928,0.23544316084922157
17031030103,Census Tract 301.03; Cook County; Illinois,0.49955859633634947,0.6347651343883446,0.045968349660889224,0.602110022607385,0.7019593067068576,0.2674660831371948
17031030104,Census Tract 301.04; Cook County; Illinois,0.5457294195541822,0.6847525747299673,0.13847023360964583,0.4423511680482291,0.85060286360211,0.22380822438388037
17031030200,Census Tract 302; Cook County; Illinois,0.22849260648863384,0.4395880432052248,0.13771665410700829,0.13074604370761114,0.5054634513941221,0.25494689762746553
17031030300,Census Tract 303; Cook County; Illinois,0.6214963584197749,0.5244913338357197,0.359457422758101,0.6529766390354182,0.794837980406933,0.3785898978191482
17031030400,Census Tract 304; Cook County; Illinois,0.4680203045685279,0.3142426525998493,0.3845139412207988,0.6096458176337604,0.5866616428033158,0.3654540380231124
17031030500,Census Tract 305; Cook County; Illinois,0.26466563672478477,0.1934187390102989,0.14657121326299924,0.43933685003767897,0.5371137905048983,0.2501247477582033
17031030601,Census Tract 306.01; Cook County; Illinois,0.4830280291326417,0.5581512182868626,0.32516955538809345,0.24001507159005275,0.8144310474755087,0.36472333413488006
17031030603,Census Tract 306.03; Cook County; Illinois,0.43378945045243866,0.5259984928409948,0.3315749811605124,0.21891484551620197,0.7211755840241145,0.35251692430086595
17031030604,Census Tract 306.04; Cook County; Illinois,0.39139262855881696,0.41044963576990706,0.233232856066315,0.19103240391861342,0.8423134890730972,0.1580721822601944
17031030701,Census Tract 307.01; Cook County; Illinois,0.602295299050982,0.6488319517709118,0.2498116051243406,0.5071590052750565,0.8713262999246421,0.3320096751440917
17031030702,Census Tract 307.02; Cook County; Illinois,0.45468991392628555,0.5506154232604873,0.3707611152976639,0.18726450640542577,0.7484928409947249,0.18444967769108947
